time,disp_x_max,disp_z_max,vonmises_max
2.725,-293.07170285461,-42.653882325207,15.95183075077
2.73,-296.56399665439,-43.033822293893,4.4023478121004
2.735,-298.51760598893,-42.975508446149,15.14293767226
2.74,-299.13148455443,-42.843112274871,27.670058394651
2.745,-299.749883524,-42.774331659267,36.978816450774
2.75,-300.33898487189,-42.794496815171,39.875858021499
2.755,-300.8680796902,-42.935187530703,38.30910420899
2.76,-301.33314208448,-43.216220019938,32.441505589782
2.765,-301.62708541123,-43.588524455245,21.505736180324
2.77,-299.23552924992,-43.826365856284,14.876320944057
2.775,-297.38549476131,-43.726088785486,15.182433855832
2.78,-296.72602403678,-43.870044623152,19.490383756918
2.785,-297.52488100442,-44.064765384558,27.770119796341
2.79,-299.70891348066,-44.061858147642,30.890931868858
2.795,-302.86232751898,-44.177211207529,32.361740997329
2.8,-305.37565364887,-44.364991677137,31.549341989217
2.805,-306.27089113384,-44.484554130246,30.562883174825
2.81,-307.24041383395,-44.68477419785,27.284774321406
2.815,-308.27218773115,-44.999542125921,21.730391626638
2.82,-309.36500616991,-45.326847125608,13.022829721474
2.825,-310.50844373319,-45.606223648367,8.2599422386103
2.83,-311.31804008218,-45.672092425594,15.675450059803
2.835,-310.04042692465,-45.576237534325,24.459033309387
2.84,-309.36019810921,-45.545078335393,33.28336498915
2.845,-309.80525149764,-45.615383582371,35.692277998466
2.85,-311.55355066996,-45.781500013189,34.373625751004
2.855,-314.39848645653,-46.055580181572,29.136971015586
2.86,-317.46618219003,-46.391159321404,22.109768928487
2.865,-317.9534150512,-46.595329194644,17.243583534525
2.87,-318.24569044657,-46.472133256188,15.565159490288
2.875,-318.35283274387,-46.531636847331,20.507704018149
2.88,-318.29000264705,-46.568250185609,25.254327800925
2.885,-318.070503092,-46.587816217474,28.954552430524
2.89,-317.71506230843,-46.61045664188,30.084947014056
2.895,-317.00215123807,-46.675218238628,32.429276237659
2.9,-313.55874725203,-46.646854905427,32.848929619417
2.905,-310.84962897941,-46.707276578523,30.421516773948
2.91,-309.42860895737,-46.842373310234,24.957990890041
2.915,-309.42364771415,-47.050402953233,15.25735470156
2.92,-310.5721687634,-47.297671833309,9.6220566100378
2.925,-312.37342191384,-47.481392519956,14.217944643906
2.93,-312.30122849796,-47.470033489314,24.079304806003
2.935,-311.78142477292,-47.491406959555,32.127393439089
2.94,-311.3895844146,-47.640486243562,34.316686984544
2.945,-311.08618593947,-47.93053511411,33.129582805878
2.95,-310.82436217328,-48.350611121,27.395689240641
2.955,-310.56405643518,-48.855203513694,16.023862986013
2.96,-308.72927845358,-49.275996173216,7.5650208700463
2.965,-306.46595264648,-49.395536871191,11.91491606475
2.97,-305.08824696024,-49.629924912281,22.396378592473
2.975,-304.79774949919,-49.729567569788,30.843473288637
2.98,-305.51867316532,-49.87720584546,33.977077714535
2.985,-306.99691757413,-50.136168383835,35.936088682581
2.99,-308.82504328517,-50.461148499545,33.809666661216
2.995,-309.24456579636,-50.74379892206,26.68902725013
3,-309.54014513849,-51.111257347862,21.285538577024
3.005,-309.93871369719,-51.56987360071,14.783951686089
3.01,-310.40610979125,-51.821967622171,10.831207637265
3.015,-310.91046979087,-52.022188738684,16.052156757042
3.02,-311.4447671281,-52.074461100989,23.266671036747
3.025,-310.4010383815,-52.071781462526,31.417786501501
3.03,-309.64693923279,-52.071185225101,35.870369193901
3.035,-309.6201536564,-52.15430591397,35.844133758398
3.04,-310.41146617465,-52.358867475521,33.747760066813
3.045,-311.99129751509,-52.667814736562,28.361222089059
3.05,-314.2451446505,-53.042030154015,17.71678531769
3.055,-316.94666095824,-53.421858304749,7.1833750395948
3.06,-318.19668383497,-53.564669994115,7.1816144509145
3.065,-319.27421918179,-53.449946110969,18.9036162427
3.07,-320.35471673803,-53.350370232836,27.88284889498
